country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,2.87,2.68,2.53,2.61,3.16,3.55,2.96,4.91,6.15,4.89,4.99,4.15,4.41,4.8,9.77
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,12.8,11.8,12.2,10.9,9.86,8.69,7.25,7.97,10.2,12.4,14.5,15.5,15.3,14.4,11.6,10.1,7.67,6.29,6.77
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77,10.4,9.25,8.9,8.77,7.82,7.77,6.23,5.86,5.19,5.09,5.27,5.3,6.39,6.84,6.85,7.16,9.14,10.4,10.2,10,9.1,6.81,6.03,4.53,3.69,3.38,2.97,3.82
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.08,1.16,1.19,1.86,,2.13,2,2.69,3.15,2.88,2.94,3.08,3.06,3.32,3.87,3.82,5.07,5.03,3.72,3.47,2.84,2.47,2.29,2.01,2.42,2.42,2.06,2.52,2.11,2.81
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,1.42,,,,,1.22,,,,,1.15,,1.37,,,,,,2.87,2.9,2.62
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,15,16.7,16.4,16.5,16,15.3,13.2,14.6,14,14.2,13.3,10.9,10.9,9.39,7.19,5.38,4.05,3.28,3.7,4.01,4.01,3.67,3.85,4.26,5.66,11,13,14.1,14,12.4,10.7,8.88,7.51,5.84,4.83,4.13,4.61
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29,8.28,7.97,7.85,9.62,10.8,10.2,10.2,8.98,9.24,9.86,11.2,11,11.1,9.81,8.92
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,,,,,5.55,,7.93,,7.86,10.1,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,3.21,4.34,4.18,4.1,2.58,2.98,2.29,1.71,1.34,1.33,2.48,2.12,1.94,1.65,1.76,1.31,1.93,6.14,6.34,5.65,4.55,4.65,4.32,3.14,2.48,1.85,2.08,2.91,5.27
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2.49,,2.44,2.05,3.46,3.73,3.66,3.27,4.44,5.04,,,,,10.2,11.1,12,10.5,8.01,7.02,7.08,8.42,9.08,9.83,9.44,10.3,11.4,11.9,11.5,10,8.95,7.89,6.82,8.83,7.55,6.42,6.12,5.66,5.25,4.67,4.22,3.75,3.59,3.47,3.99
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3.25,3.21,,4.18,4.39,4.95,5.02,6.21,6.45,6.88,7.36,6.6,6.99,6.43,7.22,8.34,8.82,9.01,9.38,9.79,9.51,8.79,7.96,7.78,7.46,6.54,6.65,5.88,5.31,5.96,6.93,7.51,7.47,9.59,11.2,11.8,11.2,11.1,10.8,10.3,9.81,8.99
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,11.8,,,,10.8,,,,,9.99,8.81,,,,8.37,,,,11.5,12.4,11.4,11.2,10.8,9.51,7.2,6.02,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,13.8,12.7,
Japan,,,,,,,,,,,,,,,,,,,,,0.97,0.89,0.88,0.97,1.03,0.93,1.1,1.57,1.63,1.62,1.87,1.7,1.66,1.8,1.9,2.22,2.19,2.12,2.21,2.25,1.98,1.78,1.64,1.64,1.7,2,2.34,2.59,2.72,2.83,3.44,3.96,4.06,4.39,4.89,4.7,4.38,4.19,3.94,3.73,3.88,4.96,4.92,4.42,4.26,4.09,3.59,3.43,3.14,2.82,2.48,2.39,2.82
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44,8,7.41,,,,6.47,6.61,5.91,5.61,5.61,5.57,,,,5.06,,,5.01
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02,,,,,,,7.79,,,,,,,,,,1.88,,,3.97,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,6.96,6.63,6.71,,,6.12,6.63,6.6,6.37,7.05,6.89,6.16,5.83,5.73,3.79,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.31,,,,,,0.94,0.64,0.44,0.71,0.61,1.26,0.32,0.48,0.17,0.51,,,0.99,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,,,,8.28,,,,6.08,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,3.67,,,,,,,,,,3.81,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,3.33,3.26,3.2,3,3.09,3.12,2.5,1.92,2.08,1.89,1.7,1.81,2.11,1.94,1.56,1.65,2.16,6.36,5.83,3.75,3.44,2.84,3.03,3.08,3.27,3.11,2.99,2.92,3.37,3.23,2.89,2.71,2.71,3,3.32,3.5,3.61,3.72,3.58,3.76
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,32.3,30.5,24.4,28.6,27.3,23.3,24
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,1.47,1.64,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,8.04,,,
